State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Workers,Male_Workers,Female_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Television,Ownership_Owned_Households,Ownership_Rented_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Total_Power_Parity
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1494937,1419316,1911433,1085244,826189,152943,1042016,1142867,743967,398900,1612239,410759,193974,4826,932,2733,350908,22538,76565,420740,310242,730982,361522,547583,495515,370847,247237,195181,28424,2246309,613855,2860164,1742293,725938,409166,247137,461581,79680,15357,40971,56328,65660,294024,113820,114544,167822,38615,174928,384633,85818,17433,22402,3868,1101,63936,3805
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,589391,561176,483263,287303,195960,72341,308343,490202,295690,194512,628044,398243,83208,198,245,125,34879,591,9563,223450,37543,260993,146399,171416,110822,52248,28087,19832,2593,531397,637296,1168693,745027,261849,137727,24604,217420,4553,5792,21978,27770,30506,112655,40484,41665,70027,14065,62987,167627,27575,4816,6039,987,236,23276,954
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,300309,299269,343483,191991,151492,44674,424407,288645,159867,128778,201524,15103,306601,51,753,114,16865,423,4649,144169,11114,155283,82317,130068,97580,47836,24842,13674,1197,397514,191341,588855,357859,143560,97817,7606,111052,4279,4170,10863,15033,14689,55943,20040,21214,38718,6912,48561,81090,13393,1740,2013,218,55,20110,496
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,950111,939641,1113412,641388,472024,319149,97203,818081,511575,306506,1634229,219991,3433,443,412,25198,301389,3745,26297,324799,165858,490657,242336,385986,147397,171505,115095,82319,25791,1170429,608843,1779272,1123443,465706,299774,161280,287059,54451,14665,27809,42474,40032,183541,70342,73167,95192,34170,86279,229586,54042,17545,23049,4097,1407,48700,2890
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,509172,481751,688749,385311,303438,213700,52903,459891,315499,144392,890429,92252,5368,389,272,1045,214253,3729,17066,231052,95410,326462,100770,168165,126285,166677,82235,51015,10741,705888,205062,910950,535765,278153,176083,156967,163974,55447,9652,23267,32919,37517,144124,67485,39122,39473,8229,42849,156406,30515,5347,6614,986,281,31210,1422
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,2423063,2356598,3052032,1725548,1326484,577418,297198,2105668,1372422,733246,4038331,528412,18418,2037,1086,178310,808827,17560,73497,962777,356198,1318975,544564,1057297,609600,532584,279583,201884,56621,3282133,1346776,4628909,2669348,1251116,857143,468274,811672,126662,37652,82149,119801,122453,550977,229331,199193,226927,66120,231175,644950,146890,38909,48893,7746,2238,123092,7045
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,1236954,1215641,1421621,813440,608181,517409,451406,1116880,703258,413622,2103633,320834,14014,1029,284,8044,440374,9626,40190,371604,251876,623480,275785,529576,219702,203139,121453,89475,29367,1468497,787762,2256259,1487013,617276,346905,291101,366781,102920,15029,36995,52024,58834,267798,107207,101757,127026,34856,114873,338539,66300,16362,20496,3285,849,56369,3886
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,870665,832635,1042673,597198,445475,399785,235822,702608,459050,243558,1289709,335184,35438,1145,30453,680,271439,3971,36072,287134,102269,389403,188998,474921,194233,181076,105347,54900,12885,1212360,515395,1727755,1018195,397120,287271,116314,278386,30830,8519,21648,30167,28370,150730,53752,68608,107588,25036,100961,216975,52444,11996,15020,2465,559,29082,2448
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,128663,126567,86919,54076,32843,10122,204189,134525,71591,62934,245151,1617,2709,68,1649,15,12516,117,1462,50449,7942,58391,25597,22787,14170,7192,6755,3421,147,80069,163278,243347,167348,63802,23927,4215,47682,1846,2429,6408,8837,7852,25936,9267,8817,13973,1656,21902,35090,4836,435,506,63,8,9970,1387
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,1111022,1066309,1248268,730566,517702,442773,39314,927722,580111,347611,1786830,369588,2433,558,374,8665,326594,4987,36571,396449,131041,527490,246391,430477,143199,182756,129109,96990,24569,1253491,746979,2000470,1295274,527085,353549,164015,338321,55083,12850,28819,41669,40215,202950,76206,86529,121864,38593,139409,269069,64643,21459,28159,5019,1681,43205,2938
